,News
0,$ aapl - wall st . kicks off new year on lower note -> URL stock stocks stockaction
1,what are your top picks for q1 2014 ? here are mine : $ aapl $ cree $ fb $ cldx $ sne
2,"thursday headlines include news on $ cpb , $ nyt , $ aapl , $ wmt and $ nflx URL"
3,rt AT_USER hmm not so much for $ aapl .. we got this double top threat goin on here ..
4,rt AT_USER AT_USER what i like about $ aapl long term is its ~ 9.5 pe ex-cash gives it a floor on valuation . only hi quality s …
5,$ aapl is soooo pathetic . one has to wonder if icahn is selling . 544 must hold .
6,$ aapl new lows .. still holding half lotto 542.50 puts
7,"no steve jobs but could argue steve jobs is not who you want to lead company at this stage . to early to know ? AT_USER "" ineffective ceo "" $ aapl"
8,updated report for $ aapl via AT_USER URL URL
9,AT_USER URL downgraded $ aapl looks for new footing $ fxi $ spx $ bac $ c $ twtr $ fb AT_USER AT_USER
10,rt AT_USER standpoint research downgrades apple $ aapl to sell for moral reasons URL
11,$ aapl seeing potential to hold a higher low above yest's lod & if so 550/51 is 1st key trgt ; + 551 = grind in2 earnings ; - 540 = 536 then 529
12,"if you wanna sell in china , better use chinese channels . $ aapl opens store on alibaba's tmall URL"
13,“ AT_USER out half $ aapl 540 puts for 27.27 % ” same
14,“ AT_USER new post : URL $ aapl $ aria $ nq $ ssh $ rmti $ wlt ” / good read !
15,"new deal , new stores : apple ’ s plan for china URL via AT_USER $ aapl"
16,trading off the value of apple ’ s music monopoly URL | $ aapl itunes ipod
17,"rt AT_USER 10 billion : apple says customers spent $ 10,000 , 000,000 on apps in 2013 URL • $ aapl"
18,"rt AT_USER 10 billion : apple says customers spent $ 10,000 , 000,000 on apps in 2013 URL • $ aapl"
19,"$ aapl please help me understand the math.billions in holiday sales , china mobile , itv , iwatch , ipad pro , ihome , iphone air . and it's a sell"
20,$ aapl may be worth a l but just for a bounce here .
21,"apple inc ( $ aapl ) moderately down , lost over 3 % . early buzzers apple inc linkedin corp micron technology tase : URL"
22,$ aapl apple inc . ( aapl ): apple's a8 - - what it will be and why it matters URL
23,$ aapl apple inc . ( aapl ): apple's a8 - - what it will be and why it matters URL
24,"$ aapl urges vote against icahn proposal , human rights board committee , proxy access URL corpgov esg see my comments"
25,rt AT_USER new post : stock market recap 01/09 / 14 URL $ aapl $ cmg $ fb $ iwm $ nflx $ qqq $ spy $ tsla
26,"rt AT_USER apple roundup : bigger iphones , carrier subsidies , u . s . mac sales URL $ aapl"
27,rt AT_USER $ oxbt monday gapper ? URL $ phot $ fnma $ twtr $ goog $ aapl $ fb daytrading pennystocks daytradealerts tr …
28,$ aapl $ goog $ nflx $ shld $ fb $ isrg $ nrp : 16.60 🔜 🔜 🔜 🔻 🔻 ⬇ ️ 6 ⃣ 💲 put 16 feb
29,forgive me but gundlach calling the next 10 % move in $ aapl is not very exciting .
30,$ aapl plans to reintroduce entry-level iphone in india .
31,$ aapl expect solid results and guidance from apple ( aapl ) - jefferies ; estimates raised URL via AT_USER
32,the $ aapl / china mobile deal is way less important than cramer thinks .
33,"rt AT_USER gave $ aapl notice we ’ ll be making a precatory proposal to call for vote to increase buyback program , although not at $ 150 …"
34,rt AT_USER i would like to see $ aapl close over $ 550.00 today to be convinced
35,"$ aapl - market snapshot : u . s . stocks extend rebound , pushing s & p 500 to record URL"
36,AT_USER the guy's right . $ aapl should close down and leave the country . that would help those workers !
37,$ aapl - [ video ] apple : technicals trump technology -> URL stock stocks stockaction
38,"$ aapl new apple , china mobile deal goes beyond iphones - new york post URL"
39,"apple stock update - $ aapl : $ 555.56 , down -1.80 ( -0.32 % ) on thu jan 16 2014 at 15:03 : 57 est URL"
40,"3 stocks to watch this week - - cree , starbucks , and microsoft URL $ cree $ sbux $ msft $ aixg $ gmcr $ mcd $ goog $ aapl"
41,"rt AT_USER open interest for 1/24 – $ aapl , $ bidu , $ fb , $ goog , $ lnkd , $ pcln , $ tsla , $ twtr URL"
42,rt AT_USER today on AT_USER with AT_USER AT_USER with the latest on $ aapl .
43,"apple stock update - $ aapl : $ 555.60 , up 6.53 ( 1.19 % ) on wed jan 22 2014 at 12:28 : 52 est URL"
44,$ aapl - icahn accuses apple of doing great disservice to investors -> URL stock stocks stockaction
45,rt AT_USER today we have put out a seven page letter to $ aapl shareholders discussing why buyback should be markedly increased : http …
46,rt AT_USER today we have put out a seven page letter to $ aapl shareholders discussing why buyback should be markedly increased : http …
47,find the next hot pennystock $ zipr $ apfc $ atro $ aapl view now URL
48,$ aapl icahn takes another $ 500 mln bite out of apple URL
49,rt AT_USER carl icahn returns from vacation with gusto URL $ ebay $ aapl $ nuan
50,"what if , instead of buying those apple products , you bought $ aapl stock on the day those products came out ... URL rich"
51,love him or hate him . AT_USER makes some very compelling points in his letter to $ aapl share holders ...
52,someone should tell $ twtr $ goog $ aapl $ aapl that markets correcting . these r the real teflon don's . if these go it's a big correction 10 % >
53,"apple executives consider thirty years of macintosh , say ios and os x convergence ' a non-goal $ aapl URL"
