,News
29,"thursday headlines include news on $ cpb , $ nyt , $ aapl , $ wmt and $ nflx URL"
36,rt AT_USER hmm not so much for $ aapl .. we got this double top threat goin on here ..
37,rt AT_USER AT_USER what i like about $ aapl long term is its ~ 9.5 pe ex-cash gives it a floor on valuation . only hi quality s …
38,$ aapl is soooo pathetic . one has to wonder if icahn is selling . 544 must hold .
61,"no steve jobs but could argue steve jobs is not who you want to lead company at this stage . to early to know ? AT_USER "" ineffective ceo "" $ aapl"
63,updated report for $ aapl via AT_USER URL URL
65,AT_USER URL downgraded $ aapl looks for new footing $ fxi $ spx $ bac $ c $ twtr $ fb AT_USER AT_USER
94,"if you wanna sell in china , better use chinese channels . $ aapl opens store on alibaba's tmall URL"
101,“ AT_USER out half $ aapl 540 puts for 27.27 % ” same
108,"new deal , new stores : apple ’ s plan for china URL via AT_USER $ aapl"
113,trading off the value of apple ’ s music monopoly URL | $ aapl itunes ipod
115,"rt AT_USER 10 billion : apple says customers spent $ 10,000 , 000,000 on apps in 2013 URL • $ aapl"
117,"$ aapl please help me understand the math.billions in holiday sales , china mobile , itv , iwatch , ipad pro , ihome , iphone air . and it's a sell"
122,$ aapl may be worth a l but just for a bounce here .
133,$ aapl apple inc . ( aapl ): apple's a8 - - what it will be and why it matters URL
134,"$ aapl urges vote against icahn proposal , human rights board committee , proxy access URL corpgov esg see my comments"
138,rt AT_USER new post : stock market recap 01/09 / 14 URL $ aapl $ cmg $ fb $ iwm $ nflx $ qqq $ spy $ tsla
139,"rt AT_USER apple roundup : bigger iphones , carrier subsidies , u . s . mac sales URL $ aapl"
158,rt AT_USER $ oxbt monday gapper ? URL $ phot $ fnma $ twtr $ goog $ aapl $ fb daytrading pennystocks daytradealerts tr …
162,$ aapl $ goog $ nflx $ shld $ fb $ isrg $ nrp : 16.60 🔜 🔜 🔜 🔻 🔻 ⬇ ️ 6 ⃣ 💲 put 16 feb
189,forgive me but gundlach calling the next 10 % move in $ aapl is not very exciting .
190,$ aapl plans to reintroduce entry-level iphone in india .
199,$ aapl expect solid results and guidance from apple ( aapl ) - jefferies ; estimates raised URL via AT_USER
200,the $ aapl / china mobile deal is way less important than cramer thinks .
217,"rt AT_USER gave $ aapl notice we ’ ll be making a precatory proposal to call for vote to increase buyback program , although not at $ 150 …"
221,rt AT_USER i would like to see $ aapl close over $ 550.00 today to be convinced
222,"$ aapl - market snapshot : u . s . stocks extend rebound , pushing s & p 500 to record URL"
227,AT_USER the guy's right . $ aapl should close down and leave the country . that would help those workers !
242,"$ aapl new apple , china mobile deal goes beyond iphones - new york post URL"
263,"3 stocks to watch this week - - cree , starbucks , and microsoft URL $ cree $ sbux $ msft $ aixg $ gmcr $ mcd $ goog $ aapl"
269,"rt AT_USER open interest for 1/24 – $ aapl , $ bidu , $ fb , $ goog , $ lnkd , $ pcln , $ tsla , $ twtr URL"
273,rt AT_USER today on AT_USER with AT_USER AT_USER with the latest on $ aapl .
299,$ aapl - icahn accuses apple of doing great disservice to investors -> URL stock stocks stockaction
308,rt AT_USER today we have put out a seven page letter to $ aapl shareholders discussing why buyback should be markedly increased : http …
312,find the next hot pennystock $ zipr $ apfc $ atro $ aapl view now URL
320,$ aapl icahn takes another $ 500 mln bite out of apple URL
332,rt AT_USER carl icahn returns from vacation with gusto URL $ ebay $ aapl $ nuan
333,"what if , instead of buying those apple products , you bought $ aapl stock on the day those products came out ... URL rich"
334,love him or hate him . AT_USER makes some very compelling points in his letter to $ aapl share holders ...
347,someone should tell $ twtr $ goog $ aapl $ aapl that markets correcting . these r the real teflon don's . if these go it's a big correction 10 % >
357,"apple executives consider thirty years of macintosh , say ios and os x convergence ' a non-goal $ aapl URL"
358,best stock newsletter on $ urre $ vpg $ uil $ aapl visit URL
362,rt AT_USER i guess carl needs to buy antoher tranche of $ aapl . sold the 552.50 / 555 call spread on my private stream today .
365,"if this market selloff continues for another 5-10 % , there will be some great investing opportunities : $ aapl $ amzn $ goog $ tsla $ twtr $ yhoo"
